objective_id,group,public_scope_item,learning_objective,source_url,source_locator,normal_ids,normal_core_ids,mock_1_ids,mock_2_ids,mock_3_ids,assessment,finding,coverage_approval
official-11,控除項目関連,所得税の控除,非課税額・社会保険料等控除後額・甲乙・扶養人数から税額表を使う,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／控除項目関連,q-0349 q-0351 q-0352 q-0353 q-0354 q-0355 q-0356 q-0357 q-0358 q-0359 q-0360 q-0361 q-0373 q-0374 q-0375 q-0377 q-0378 q-0380 q-0381 q-0384 q-0387 q-0388 q-0390 q-0392 q-0406 q-0408 q-0409 q-0411 q-0412 q-0413 q-0676,q-0349 q-0351 q-0359 q-0373 q-0377 q-0388 q-0390 q-0392 q-0413 q-0676,q-0350 q-0363 q-0376 q-0675,q-0383 q-0389 q-0391 q-0393,q-0404,応用・資料参照不足,基本・甲欄月額の資料参照あり。アプリ月額表は抜粋で、日額表や月額乙欄の数値参照演習は不足。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-12,控除項目関連,住民税の控除,通知額・年度周期・退職月から徴収方法を判定する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／控除項目関連,q-0364 q-0366 q-0368 q-0369 q-0370 q-0371 q-0372 q-0397 q-0399 q-0419 q-0422 q-0424 q-0425 q-0426 q-0429 q-0430 q-0432 q-0433 q-0436 q-0437,q-0364 q-0369 q-0397 q-0399,,,q-0398 q-0400,基本・適用を収録,基本と退職時ケースあり。税率から毎月再計算しない。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-13,社会保険の事務手続,標準報酬月額,報酬範囲を集計し保険別の等級と適用時点を選ぶ,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／社会保険の事務手続,q-0465 q-0466 q-0467 q-0469 q-0470 q-0471 q-0472 q-0474 q-0476 q-0478 q-0480 q-0481 q-0482 q-0483 q-0484 q-0485 q-0486 q-0487 q-0488 q-0489 q-0490 q-0504 q-0605 q-0760 q-0761 q-0769 q-0770 q-0775 q-0834 q-0835,q-0466 q-0504 q-0760 q-0834 q-0835,q-0458 q-0492 q-0505 q-0763,q-0768,q-0457 q-0464 q-0491 q-0773,応用・資料参照不足,通常基礎2問を補強し、等級50行を画面参照可能にした。現物価額表からの換算演習は不足。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-14,社会保険の事務手続,資格取得時決定,見込報酬から取得時の標準報酬月額を決める,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／社会保険の事務手続,q-0533 q-0534 q-0540 q-0541 q-0542 q-0652 q-0653 q-0654 q-0659 q-0663,q-0533 q-0541 q-0652 q-0659 q-0663,q-0532,q-0536 q-0651,q-0656,基本・適用を収録,基本・取得時期のケースあり。現物支給や報酬形態をまたぐ計算の十分性は未検証。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-15,社会保険の事務手続,定時決定,提出対象・支払基礎日数・対象月・平均・適用月を判定する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／社会保険の事務手続,q-0462 q-0504 q-0547 q-0548 q-0549 q-0550 q-0551 q-0552 q-0553 q-0554 q-0666,q-0462 q-0504 q-0548 q-0550 q-0554,q-0463 q-0505,q-0544,q-0671,基本・適用を収録,17/15/11日と提出除外のケースあり。報酬範囲から等級決定まで一括で行う資料演習の十分性は未検証。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-16,社会保険の事務手続,随時改定,固定的変動・3か月・日数・等級差・増減方向で改定を判定する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／社会保険の事務手続,q-0517 q-0518 q-0519 q-0522 q-0525 q-0526 q-0528 q-0530 q-0647,q-0517 q-0526 q-0530,q-0520 q-0531,q-0523,q-0642,基本・適用を収録,基本と境界判断あり。1級で明示された終了時改定・遡り昇給の詳細問題は配信から除外。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-17,社会保険の事務手続,労働保険の年度更新,確定・概算・賃金範囲・率・年度から年度更新を説明する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／社会保険の事務手続,q-0674 q-0680 q-0684,q-0674 q-0680 q-0684,q-0681,q-0673 q-0682,,応用・資料参照不足,通常コアあり。メリット制は2級採用根拠不足で除外。申告書一式の実資料計算は不足。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-18,賞与計算,賞与からの社会保険料の控除,標準賞与額・健厚上限・免除・本人率・雇用の実額から控除を計算する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／賞与計算,q-0625 q-0777 q-0779 q-0780 q-0781 q-0782 q-0784 q-0785 q-0786 q-0787 q-0788 q-0789 q-0790 q-0791 q-0794 q-0795 q-0801 q-0803 q-0809 q-0811 q-0812 q-0828,q-0625 q-0780 q-0782 q-0794 q-0795 q-0801 q-0803 q-0828,,q-0626 q-0778 q-0792,q-0793 q-0827,基本・適用を収録,基本・年度月上限・免除境界・本人額の計算あり。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-19,賞与計算,賞与からの所得税の控除,前月の控除後給与と扶養人数で率を選び今回賞与の控除後額へ乗じる,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／賞与計算,q-0394 q-0797 q-0799 q-0800 q-0802 q-0815 q-0818 q-0826 q-0828,q-0394 q-0797 q-0800 q-0815 q-0828,,,q-0827 q-0837,応用・資料参照不足,甲0〜7人以上・乙の全算出率表を参照可能。特例賞与は2級採用根拠不足で除外。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-20,給与計算実務に関連する労働者保護法令,賃金の支払いに関するルール（労働基準法）,支払5原則・控除・非常時払い・最低賃金等の条件を区別する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／給与計算実務に関連する労働者保護法令,q-0033 q-0302 q-0304 q-0305 q-0307 q-0308 q-0309 q-0310 q-0312 q-0315 q-0317 q-0319 q-0322 q-0323 q-0324 q-0325 q-0326 q-0330 q-0332 q-0333 q-0341 q-0347,q-0033 q-0304 q-0305 q-0307 q-0308 q-0310 q-0319 q-0323 q-0324 q-0326 q-0333 q-0341 q-0347,q-0032,q-0303 q-0311 q-0340,q-0316 q-0344,基本・適用を収録,基本とケースあり。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-21,給与計算実務に関連する労働者保護法令,労働基準法（賃金の支払のルール以外）,労働条件・就業規則・平均賃金・解雇予告などを適用する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／給与計算実務に関連する労働者保護法令,q-0003 q-0004 q-0005 q-0006 q-0007 q-0008 q-0009 q-0017 q-0018 q-0019 q-0020 q-0021 q-0022 q-0023 q-0024 q-0025 q-0276 q-0278 q-0279 q-0281 q-0282 q-0283 q-0284 q-0335 q-0336 q-0338 q-0339,q-0003 q-0005 q-0022 q-0025 q-0276 q-0282 q-0284 q-0335 q-0336 q-0339,q-0029,q-0280 q-0288 q-0337,q-0002 q-0285,基本・適用を収録,基本・境界・平均と休業手当計算あり。平均賃金の混合給は導入例で補強。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-22,給与計算実務に関連する労働者保護法令,労働契約法,合意・不利益変更・解雇の有効性を給与処理と区別する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／給与計算実務に関連する労働者保護法令,q-0010 q-0011 q-0012 q-0013 q-0014 q-0015 q-0016 q-0026 q-0027,q-0010 q-0013 q-0014 q-0016 q-0026 q-0027,,,,基本・適用を収録,基本とケースあり。パート関係法令等を含む詳細範囲は公式本文未検証。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-23,給与計算実務に関連する労働者保護法令,マイナンバー制度,利用目的・取得時の明示・安全管理・廃棄を区別する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／給与計算実務に関連する労働者保護法令,q-0563 q-0833,q-0563 q-0833,q-0261,,q-0262,基本・適用を収録,通常コアを補強。番号の利用目的を法定事務へ限定。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-24,社会保険制度,社会保険の全体像,制度の目的と加入・給付・負担の主体を分ける,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／社会保険制度,q-0450 q-0455 q-0460 q-0461 q-0494 q-0495 q-0496 q-0497 q-0498 q-0499 q-0500 q-0502 q-0503 q-0572 q-0573 q-0575 q-0576 q-0586 q-0587 q-0589 q-0592 q-0593 q-0594 q-0595 q-0596 q-0612 q-0617 q-0621 q-0624 q-0649,q-0455 q-0460 q-0494 q-0503 q-0572 q-0573 q-0576 q-0586 q-0649,,q-0577 q-0650,q-0456 q-0459 q-0493 q-0501,基本・適用を収録,通常説明を拡充。模試だけで基礎を初めて知る経路を避ける。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-25,社会保険制度,健康保険,医療給付・所得補償・被扶養者・退職後の選択を区別する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／社会保険制度,q-0452 q-0453 q-0454 q-0460 q-0506 q-0508 q-0509 q-0510 q-0511 q-0512 q-0513 q-0580 q-0586 q-0587 q-0588 q-0610 q-0611 q-0629 q-0630,q-0453 q-0460 q-0506 q-0508 q-0513 q-0586 q-0610 q-0611,q-0507,q-0628 q-0632,q-0451 q-0456,基本・適用を収録,基本とケースあり。給付の全制度・全例外の充足は公式本文未検証。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-26,社会保険制度,厚生年金保険,加入年齢・給付体系・標準額・本人負担を区別する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／社会保険制度,q-0455 q-0461 q-0566 q-0589 q-0592 q-0593 q-0594 q-0595 q-0596 q-0834,q-0455 q-0566 q-0834,q-0458 q-0567,,q-0457 q-0459,基本・適用を収録,通常基礎補強と等級参照あり。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-27,社会保険制度,雇用保険,加入・届出・保険料負担・基本手当等の給付を区別する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／社会保険制度,q-0555 q-0556 q-0557 q-0558 q-0568 q-0569 q-0578 q-0579,q-0555 q-0558 q-0568 q-0569 q-0578 q-0579,,,,基本・適用を収録,基本とケースあり。給付の全制度・全例外の充足は公式本文未検証。,未検証：公式2026年2級テキストの章内全範囲と照合できない
official-28,社会保険制度,労災保険,業務・通勤災害、給付と全額事業主負担を区別する,https://jitsumu-up.jp/about/,2級で身につく知識と出題範囲／社会保険制度,q-0559 q-0560 q-0561 q-0674 q-0680,q-0559 q-0560 q-0674 q-0680,q-0681,q-0682,,基本知識のみ,基本とケースあり。詳細な給付額計算の必要範囲は公式本文未検証。,未検証：公式2026年2級テキストの章内全範囲と照合できない
