id,baseline,topic,chapter_mapping,study_tier,mock,question,decision,verification,automatic_flags,fingerprint_matches
q-0014,True,labor.part-time,給与計算担当者が知っておきたい法律,core,,パートタイム・有期雇用労働法における同一労働同一賃金の基本的な考え方はどれか。,maintain,complete,,True
q-0015,True,labor.part-time,給与計算担当者が知っておきたい法律,reinforcement,,通常の労働者とパートタイム・有期雇用労働者の均等待遇に関する説明はどれか。,revise,complete,,True
q-0016,True,labor.part-time,給与計算担当者が知っておきたい法律,core,,パートタイム・有期雇用労働者から待遇差の説明を求められた場合、事業主が説明する内容はどれか。,maintain,complete,,True
q-0017,True,labor.termination-compensation,給与計算担当者が知っておきたい法律,reinforcement,,解雇予告制度が適用される労働者について、解雇予告手当を支払わない場合の法定の予告日数の下限はどれか。,revise,complete,,True
q-0018,True,labor.termination-compensation,給与計算担当者が知っておきたい法律,reinforcement,,30日に満たない日数で解雇予告をする場合、その期間を短縮する方法はどれか。,maintain,complete,,True
q-0019,True,labor.termination-compensation,給与計算担当者が知っておきたい法律,reinforcement,,労働者の責めに帰すべき重大な事由による解雇について、解雇予告制度の除外を受けるための取扱いはどれか。,maintain,complete,,True
q-0020,True,labor.termination-compensation,給与計算担当者が知っておきたい法律,reinforcement,,減給の制裁について、1回の事案に対する減給額の上限はどれか。,maintain,complete,,True
q-0021,True,labor.termination-compensation,給与計算担当者が知っておきたい法律,reinforcement,,複数の減給制裁を同じ賃金支払期に行う場合、その総額の上限はどれか。,revise,complete,,True
q-0022,True,labor.termination-compensation,給与計算担当者が知っておきたい法律,core,,退職者から未払賃金や本人所有の金品の返還請求を受けた場合、使用者はいつまでに対応するか。,revise,complete,,True
q-0023,True,labor.termination-compensation,給与計算担当者が知っておきたい法律,reinforcement,,退職者が請求した賃金の一部について労使間に争いがある場合、使用者が取るべき対応はどれか。,maintain,complete,,True
q-0024,True,labor.termination-compensation,給与計算担当者が知っておきたい法律,reinforcement,,労働基準法上、労働者が業務上負傷した場合の療養補償の内容はどれか。,revise,complete,,True
q-0025,True,labor.termination-compensation,給与計算担当者が知っておきたい法律,core,,労働基準法上の休業補償に関する説明として適切なものはどれか。,revise,complete,,True
q-0026,True,rules.labor-contract,給与計算担当者が知っておきたい法律,core,,就業規則に『法定時間外労働の割増率は10％』と記載されている。この規定の扱いとして適切なものはどれか。,revise,complete,,True
q-0027,True,rules.labor-contract,給与計算担当者が知っておきたい法律,core,,会社が就業規則を変更して労働条件を不利益に変更しようとしている。労働契約法上もっとも適切な説明はどれか。,revise,complete,,True
q-0028,True,rules.work-rules,,core,,就業規則の作成・届出義務が原則として生じる事業場はどれか。,retire,retired,,退役：公開対象外
q-0029,True,rules.work-rules,給与計算担当者が知っておきたい法律,core,mogi-1,常時20人を使用する事業場が就業規則を作成する際、過半数労働組合がない場合の手続として正しいものはどれか。,maintain,complete,,True
q-0030,True,wage.deductions,給与計算担当者が知っておきたい法律,core,mogi-1,賃金からの控除について最も適切なものはどれか。,maintain,complete,,True
q-0031,True,wage.deductions,給与計算担当者が知っておきたい法律,core,,会社が給与から社員旅行積立金を控除したい。全額払いの原則に照らして適切な対応はどれか。,revise,complete,,True
q-0032,True,wage.payment-principles,給与計算担当者が知っておきたい法律,core,mogi-1,労働基準法第24条の「賃金支払の原則」に含まれないものはどれか。,maintain,complete,,True
q-0033,True,wage.payment-principles,給与計算担当者が知っておきたい法律,core,,毎月の賃金支払日を『毎月25日。ただし25日が休日なら会社がその都度決める』とする運用について、賃金支払の原則上もっとも適切なものはどれか。,maintain,complete,構造化計算未登録,True
q-0034,True,attendance.break-minimum,勤怠欄,core,,労働時間と法定の最低休憩時間の組合せとして正しいものはどれか。,revise,complete,,True
q-0035,True,attendance.break-minimum,勤怠欄,core,,昼休み中も電話が鳴れば必ず応対するよう指示され、実際に自由に職場を離れられない時間の扱いとして適切なものはどれか。,revise,complete,,True
q-0036,True,attendance.statutory-holiday,勤怠欄,core,mogi-1,4週間の起算日を就業規則に明記して変形休日制を採用している。ある4週間では、第1週の休日が0日、第2～4週の休日が合計4日だった。労基法35条の休日付与義務について正しいものはどれか。,revise,complete,構造化計算未登録,True
q-0037,True,attendance.statutory-holiday,勤怠欄,core,,週休2日制で日曜日を法定休日、土曜日を所定休日と定めている。法定労働時間の超過がない週に土曜日だけ勤務した場合、労基法上の休日割増35％について正しいものはどれか。,revise,complete,構造化計算未登録,True
q-0038,True,attendance.statutory-hours,勤怠欄,core,mogi-1,原則的な法定労働時間の組合せとして正しいものはどれか。,revise,complete,,True
q-0039,True,attendance.statutory-hours,勤怠欄,core,,所定労働時間が1日7時間の会社で、法定休日ではないある日に休憩を除き9時間働いた。変形労働時間制等はなく、週の基準による追加の時間外も生じない。この日の法定時間外労働は何時間か。,revise,complete,構造化計算未登録,True
q-0040,True,labor.breaks,,reinforcement,,1日の労働時間がちょうど6時間である場合、法定の休憩時間は最低何分か。,retire,retired,,退役：公開対象外
q-0041,True,labor.breaks,勤怠欄,core,mogi-1,労基法の休憩規定が通常どおり適用される職場で、休憩を除く実労働を7時間45分と予定し、途中に45分休憩した。残業により実労働が8時間15分となる見込みの場合、休憩について必要な対応はどれか。,revise,complete,構造化計算未登録,True
q-0042,True,labor.breaks,勤怠欄,core,,1日に10時間働かせる場合の休憩の与え方として、適切なものはどれか。,revise,complete,構造化計算未登録,True
q-0043,True,labor.breaks,勤怠欄,core,,休憩の一斉付与が原則となる事業場で、これを適用しないための取扱いとして適切なものはどれか。,revise,complete,,True
q-0044,True,labor.breaks,,reinforcement,,休憩中も電話や来客に直ちに対応するよう命じられている時間の取扱いとして、適切なものはどれか。,retire,retired,,退役：公開対象外
q-0045,True,labor.breaks,,reinforcement,,実労働時間が7時間である日に、労働基準法上必要となる休憩時間はどれか。,retire,retired,,退役：公開対象外
q-0046,True,labor.breaks,勤怠欄,reinforcement,,休憩の与え方に関する労働基準法上の原則として、適切なものはどれか。,revise,complete,,True
q-0047,True,labor.childcare-care,給与計算担当者が知っておきたい法律,reinforcement,,出生日が出産予定日と同じ場合、出生時育児休業を取得できる期間と日数の上限の組合せはどれか。,revise,complete,,True
q-0048,True,labor.childcare-care,給与計算担当者が知っておきたい法律,core,,出生時育児休業の分割取得に関する原則はどれか。,revise,complete,,True
q-0049,True,labor.childcare-care,給与計算担当者が知っておきたい法律,core,,対象家族1人について取得できる介護休業の日数と回数はどれか。,revise,complete,,True
q-0050,True,labor.childcare-care,給与計算担当者が知っておきたい法律,reinforcement,,育児を理由とする所定外労働の制限を原則として請求できる労働者の子の年齢範囲はどれか。,revise,complete,,True
q-0051,True,labor.childcare-care,給与計算担当者が知っておきたい法律,reinforcement,,育児のための短時間勤務制度について、事業主が講ずべき措置の原則はどれか。,revise,complete,,True
q-0052,True,labor.childcare-care,給与計算担当者が知っておきたい法律,reinforcement,,3歳から小学校就学前までの子を養育する労働者に対する柔軟な働き方の措置はどれか。,revise,complete,,True
q-0053,True,labor.childcare-care,給与計算担当者が知っておきたい法律,reinforcement,,2025年4月から、要介護状態にある対象家族を介護する労働者に対するテレワーク措置の位置付けはどれか。,revise,complete,,True
q-0054,True,labor.childcare-care,給与計算担当者が知っておきたい法律,reinforcement,,育児休業や介護休業の申出または取得を理由とする事業主の取扱いはどれか。,revise,complete,,True
q-0055,True,labor.deemed-hours,勤怠欄,core,,事業場外みなし労働時間制を適用するための基本要件として、適切なものはどれか。,revise,complete,,True
q-0056,True,labor.deemed-hours,勤怠欄,core,,事業場外の労働時間を算定し難く、事業場内外の業務を合わせても通常は所定労働時間内に収まる場合、事業場外みなし労働時間制による1日の労働時間は原則としてどれか。,revise,complete,,True
q-0057,True,labor.deemed-hours,勤怠欄,reinforcement,,事業場外業務には通常所定労働時間を超える時間が必要で、その通常必要時間をみなし時間としている。事業場外業務の後に社内会議をした日の労働時間の算定として適切なものはどれか。,revise,complete,,True
q-0058,True,labor.deemed-hours,,reinforcement,,事業場外みなし労働時間制の適用場面として、適切なものはどれか。,retire,retired,,退役：公開対象外
q-0059,True,labor.discretionary,勤怠欄,reinforcement,,専門業務型裁量労働制を対象労働者に適用するための手続として、適切なものはどれか。,revise,complete,,True
q-0060,True,labor.discretionary,勤怠欄,core,mogi-1,企画業務型裁量労働制の導入手続として、適切なものはどれか。,revise,complete,,True
q-0061,True,labor.discretionary,勤怠欄,core,,裁量労働制の対象者が法定休日や深夜に働いた場合の取扱いとして、適切なものはどれか。,revise,complete,,True
q-0062,True,labor.discretionary,勤怠欄,core,,裁量労働制における労働時間算定の基本として、適切なものはどれか。,revise,complete,,True
q-0063,True,labor.flex,勤怠欄,core,,フレックスタイム制における清算期間の法定上限はどれか。,revise,complete,,True
q-0064,True,labor.flex,勤怠欄,core,,フレックスタイム制の中心的な特徴として、適切なものはどれか。,revise,complete,,True
q-0065,True,labor.flex,,reinforcement,,フレックスタイム制の清算期間について、法律上の最長期間はどれか。,retire,retired,,退役：公開対象外
q-0066,True,labor.flex,勤怠欄,core,mogi-1,フレックスタイム制におけるコアタイムの扱いとして、適切なものはどれか。,revise,complete,,True
q-0067,True,labor.flex,勤怠欄,core,mogi-2,清算期間が1か月を超えるフレックスタイム制の労使協定について、適切な扱いはどれか。,revise,complete,,True
q-0068,True,labor.holidays,勤怠欄,core,,労基法35条が定める休日の最低日数について、毎週付与する原則と、変形休日制の場合の組合せはどれか。,revise,complete,,True
q-0069,True,labor.holidays,勤怠欄,core,mogi-1,法定休日と所定休日の区別として、適切なものはどれか。,revise,complete,,True
q-0070,True,labor.holidays,勤怠欄,reinforcement,,振替休日の意味として、適切なものはどれか。,revise,complete,,True
q-0071,True,labor.holidays,勤怠欄,reinforcement,,1週40時間が法定基準の通常の労働時間制で、法定休日を適法に翌週へ振り替えた結果、元の休日を含む週の実労働が40時間を超えた。1日8時間超として既に計上した時間外はない。この週の超過分の取扱いはどれか。,revise,complete,構造化計算未登録,True
q-0072,True,labor.holidays,勤怠欄,core,mogi-2,毎週水曜日を法定休日とし、その日は終日労働させないと定める場合、労基法35条の毎週の休日付与義務について正しいものはどれか。,revise,complete,,True
q-0073,True,labor.holidays,勤怠欄,core,,週休2日制の事業場における法定休日と所定休日の関係として、適切なものはどれか。,revise,complete,,True
q-0074,True,labor.holidays,,reinforcement,,振替休日の基本的な意味として、最も適切なものはどれか。,retire,retired,,退役：公開対象外
q-0075,True,labor.holidays,勤怠欄,reinforcement,,法定休日に労働させた後で代休を与えた場合の割増賃金の扱いとして、適切なものはどれか。,revise,complete,,True
q-0076,True,labor.hours,勤怠欄,core,mogi-2,所定労働時間と法定労働時間の関係として、適切なものはどれか。,revise,complete,,True
q-0077,True,labor.hours,勤怠欄,core,,週44時間の特例措置が適用される事業場として、適切なものはどれか。,revise,complete,,True
q-0078,True,labor.hours,勤怠欄,reinforcement,,法定内残業に当たるものとして、適切なものはどれか。,revise,complete,,True
q-0079,True,labor.hours,勤怠欄,reinforcement,,変形労働時間制等のない事業場で、法定休日ではない日の所定労働7時間を1時間延長し、休憩を除く実労働が8時間となった。週40時間も超えない。この1時間について、36協定と法定時間外割増の取扱いはどれか。,revise,complete,構造化計算未登録,True
q-0080,True,labor.hours,勤怠欄,core,,一般の事業場における法定労働時間の原則として、適切な組合せはどれか。,revise,complete,,True
q-0081,True,labor.hours,,reinforcement,,特例措置対象事業場に適用される法定労働時間として、適切な組合せはどれか。,retire,retired,,退役：公開対象外
q-0082,True,labor.hours,,reinforcement,,所定労働時間の意味として、最も適切なものはどれか。,retire,retired,,退役：公開対象外
q-0083,True,labor.hours,,reinforcement,,1日の所定労働時間が7時間の労働者が、ある日に8時間働いた（この週の労働時間は40時間を超えないものとする）。この追加の1時間の扱いとして適切なものはどれか。,retire,retired,,退役：公開対象外
q-0084,True,labor.leave-grant,勤怠欄,core,,比例付与の対象でない労働者について、会社独自の前倒し付与がない場合、最初の法定年休10日が発生する継続勤務期間と最低出勤率の組合せはどれか。,revise,complete,,True
q-0085,True,labor.leave-grant,勤怠欄,core,,週単位で所定労働日数を定める労働者が、年休の比例付与の対象となる基本条件はどれか。,revise,complete,,True
q-0086,True,labor.leave-grant,勤怠欄,core,mogi-2,週4日・週30時間未満で働く者が、6か月継続勤務と8割出勤を満たした場合の年休付与日数はどれか。,revise,complete,構造化計算未登録,True
q-0087,True,labor.leave-grant,,reinforcement,,一般の労働者に初めて年次有給休暇が付与される要件と日数の組合せはどれか。,retire,retired,,退役：公開対象外
q-0088,True,labor.leave-grant,勤怠欄,reinforcement,,比例付与の対象でない労働者が各回の出勤率要件を満たしている。勤続6か月、1年6か月、2年6か月、3年6か月の順に並べた、その年に新たに付与する法定日数はどれか。,revise,complete,,True
q-0089,True,labor.leave-grant,勤怠欄,reinforcement,,比例付与の対象でない労働者が勤続8年6か月となり、出勤率要件を満たしている。前年に付与された20日は全て未使用で、まだ時効が完成しておらず、他の残日数はない。今回の法定付与直後に保有する年休の合計は何日か。,revise,complete,構造化計算未登録,True
q-0090,True,labor.leave-grant,,reinforcement,,週所定労働日数で比例付与を受ける労働者の要件として、適切なものはどれか。,retire,retired,,退役：公開対象外
q-0091,True,labor.leave-grant,勤怠欄,reinforcement,,週所定3日かつ週所定30時間未満の労働者が、6か月継続勤務し、その期間の全労働日の8割以上出勤した。初回の法定年休の比例付与日数はどれか。,revise,complete,構造化計算未登録,True
q-0092,True,labor.leave-grant,勤怠欄,reinforcement,,パートタイム労働者や有期雇用労働者の年次有給休暇について、適切なものはどれか。,revise,complete,,True
q-0093,True,labor.leave-grant,勤怠欄,core,mogi-3,年次有給休暇の出勤率を算定する際、出勤したものとみなされる日はどれか。,revise,complete,,True
q-0094,True,labor.leave-use,勤怠欄,core,,法定年休が年10日以上付与される労働者について、使用者が年5日の取得を確保する義務における取得日数の扱いとして、適切なものはどれか。,revise,complete,構造化計算未登録,True
q-0095,True,labor.leave-use,勤怠欄,reinforcement,,使用者が年5日の取得義務を果たすために年休の時季を指定する際の取扱いはどれか。,revise,complete,,True
q-0096,True,labor.leave-use,勤怠欄,core,,労働者の年休時季指定権と使用者の時季変更権の関係として、適切なものはどれか。,revise,complete,,True
q-0097,True,labor.leave-use,勤怠欄,core,mogi-2,計画年休を適法に導入するため、就業規則と書面の労使協定を整える。ある労働者の未使用年休は、今回の付与10日と有効な前年繰越5日の合計15日である。この時点で計画的付与の対象にできる最大日数はどれか。,revise,complete,構造化計算未登録,True
q-0098,True,labor.leave-use,勤怠欄,reinforcement,,時間単位年休を導入する場合の取扱いとして、適切なものはどれか。,revise,complete,,True
q-0099,True,labor.leave-use,勤怠欄,reinforcement,,年休取得日の賃金として法令上認められる方法の組合せはどれか。,revise,complete,,True
q-0100,True,labor.leave-use,,reinforcement,,年5日の取得確保において、使用者の時季指定が必要な日数から控除されるものはどれか。,retire,retired,,退役：公開対象外
q-0101,True,labor.leave-use,勤怠欄,reinforcement,,法定年休が年10日付与された労働者が、基準日からの1年間で、本人の請求により1日単位で2日、半日単位で2回、時間単位で合計8時間を取得した。他の取得はない。年5日の取得確保までに不足する日数は何日か。,revise,complete,構造化計算未登録,True
q-0102,True,labor.leave-use,,reinforcement,,使用者が年5日の取得確保のために年休の時季を指定する際の対応として、適切なものはどれか。,retire,retired,,退役：公開対象外
q-0103,True,labor.leave-use,勤怠欄,reinforcement,,労働者が指定した年休の時季に対する使用者の時季変更権について、適切なものはどれか。,revise,complete,,True
q-0104,True,labor.leave-use,勤怠欄,reinforcement,,労働者による年次有給休暇の時季指定と利用目的について、適切なものはどれか。,revise,complete,,True
q-0105,True,labor.leave-use,勤怠欄,core,,年次有給休暇の計画的付与の対象範囲と手続として、適切なものはどれか。,revise,complete,,True
q-0106,True,labor.leave-use,,reinforcement,,時間単位年休を導入するための要件と年間上限として、適切なものはどれか。,retire,retired,,退役：公開対象外
q-0107,True,labor.leave-use,勤怠欄,reinforcement,,時間単位年休と計画的付与の関係として、適切なものはどれか。,revise,complete,,True
q-0108,True,labor.leave-use,,reinforcement,,年次有給休暇を取得した日の法定の賃金支払方法として、認められる組合せはどれか。,retire,retired,,退役：公開対象外
q-0109,True,labor.leave-use,勤怠欄,reinforcement,,年休取得日の賃金に標準報酬日額を用いる場合の手続として、適切なものはどれか。,revise,complete,,True
q-0110,True,labor.leave-use,勤怠欄,reinforcement,,半日単位の年次有給休暇の取扱いとして、適切なものはどれか。,revise,complete,,True
q-0111,True,labor.leave-use,勤怠欄,reinforcement,,付与された年次有給休暇の請求権が時効により消滅する期間は、原則として何年か。,revise,complete,,True
q-0112,True,labor.maternity,給与計算担当者が知っておきたい法律,core,,単胎妊娠における産前産後休業の期間の原則はどれか。,maintain,complete,,True
q-0113,True,labor.maternity,給与計算担当者が知っておきたい法律,core,,産後8週間以内の女性労働者が例外的に就業できる条件はどれか。,revise,complete,,True
q-0114,True,labor.overtime-agreement,給与計算担当者が知っておきたい法律,core,,労働者の過半数で組織する労働組合がない事業場で、36協定の締結と届出の手続として、適切なものはどれか。,revise,complete,,True
q-0115,True,labor.overtime-agreement,給与計算担当者が知っておきたい法律,core,mogi-2,36協定を締結・届出した場合の効果として、適切なものはどれか。,revise,complete,,True
q-0116,True,labor.overtime-agreement,給与計算担当者が知っておきたい法律,core,,上限規制の特例・適用除外がない通常の労働時間制で、36協定に定める法定時間外労働の限度時間の原則はどれか。,revise,complete,,True
q-0117,True,labor.overtime-agreement,給与計算担当者が知っておきたい法律,reinforcement,,36協定の特別条項を利用できる事情として、適切なものはどれか。,revise,complete,,True
q-0118,True,labor.overtime-agreement,給与計算担当者が知っておきたい法律,reinforcement,,上限規制の特例・適用除外がない労働者について、特別条項における年720時間以内の集計対象を正確に示すものはどれか。,revise,complete,,True
q-0119,True,labor.overtime-agreement,給与計算担当者が知っておきたい法律,reinforcement,,上限規制の特例・適用除外がない労働者について、特別条項がある場合の単月の上限を、集計対象と数値の境界まで正確に示すものはどれか。,revise,complete,,True
q-0120,True,labor.overtime-agreement,給与計算担当者が知っておきたい法律,core,mogi-3,上限規制の特例・適用除外がない労働者に特別条項付き36協定を適用している。法定時間外労働と法定休日労働の合計は、直近の連続する2か月で98時間、64時間だった。この2か月についての上限判定として正しいものはどれか。,revise,complete,構造化計算未登録,True
q-0121,True,labor.overtime-agreement,給与計算担当者が知っておきたい法律,reinforcement,,上限規制の特例・適用除外がない通常の労働時間制で、特別条項により月45時間を超える法定時間外労働が認められる月数の上限はどれか。,revise,complete,,True
q-0122,True,labor.overtime-agreement,給与計算担当者が知っておきたい法律,core,,上限規制の特例・適用除外がない通常の労働時間制で、特別条項付き36協定を適用する場合の考え方として、適切なものはどれか。,revise,complete,,True
q-0123,True,labor.overtime-agreement,,reinforcement,,36協定を締結して届け出ることにより可能となる労働として、適切なものはどれか。,retire,retired,,退役：公開対象外
q-0124,True,labor.overtime-agreement,,core,,一般の労働者に関する36協定の時間外労働の限度時間として、原則的な組合せはどれか。,retire,retired,,退役：公開対象外
q-0125,True,labor.overtime-agreement,,reinforcement,,36協定の特別条項における年720時間の上限の対象として、適切なものはどれか。,retire,retired,,退役：公開対象外
q-0126,True,labor.overtime-agreement,,reinforcement,,36協定の特別条項を適用する場合の単月の上限として、適切なものはどれか。,retire,retired,,退役：公開対象外
q-0127,True,labor.overtime-agreement,給与計算担当者が知っておきたい法律,core,,上限規制の特例・適用除外がない労働者について、36協定の特別条項における2か月から6か月平均の上限を、集計対象まで正確に示すものはどれか。,revise,complete,,True
q-0128,True,labor.overtime-agreement,,reinforcement,,特別条項により原則の月45時間を超えることができる月数の上限はどれか。,retire,retired,,退役：公開対象外
q-0129,True,labor.overtime-agreement,給与計算担当者が知っておきたい法律,reinforcement,,上限規制の特例・適用除外がない事業で、対象期間が3か月を超える1年単位の変形労働時間制における法定時間外労働の限度時間の原則はどれか。,revise,complete,,True
q-0130,True,labor.supervisor,勤怠欄,core,,労働基準法上の管理監督者にも適用される規定の組合せとして、適切なものはどれか。,revise,complete,,True
q-0131,True,labor.supervisor,勤怠欄,core,,「課長」という肩書を付けただけで、重要な労務管理の権限も勤務時間の裁量も与えず、賃金も一般社員と同程度のままにしている。労基法の管理監督者として時間外割増を不要にできるか。,revise,complete,,True
q-0132,True,labor.variable-hours,勤怠欄,core,,週44時間の特例が適用されない事業場で、1か月単位の変形労働時間制を採用する場合の基本的な枠組みはどれか。,revise,complete,,True
q-0133,True,labor.variable-hours,勤怠欄,reinforcement,,1年単位の変形労働時間制の対象期間と週平均の原則として、適切なものはどれか。,revise,complete,,True
q-0134,True,labor.variable-hours,勤怠欄,core,mogi-2,常時9人を使用する小売店が、日ごとの繁閑を予測しにくいなどの要件を満たし、1週間単位の非定型的変形労働時間制を適法に採用する。この制度で1週間に配分できる所定労働時間の上限はどれか。,revise,complete,,True
q-0135,True,labor.variable-hours,勤怠欄,core,,1か月単位の変形労働時間制における労働時間の特定について、適切なものはどれか。,revise,complete,,True
q-0136,True,labor.variable-hours,,reinforcement,,1か月単位の変形労働時間制の基本的な仕組みとして、適切なものはどれか。,retire,retired,,退役：公開対象外
q-0137,True,labor.variable-hours,,reinforcement,,1か月単位の変形労働時間制で勤務割を定める際の原則として、適切なものはどれか。,retire,retired,,退役：公開対象外
q-0138,True,labor.variable-hours,勤怠欄,reinforcement,,1か月単位の変形労働時間制を導入するための定めとして、適切なものはどれか。,revise,complete,,True
q-0139,True,labor.variable-hours,勤怠欄,core,mogi-3,1年単位の変形労働時間制の導入手続として、適切なものはどれか。,revise,complete,,True
q-0140,True,labor.variable-hours,勤怠欄,reinforcement,,隔日勤務タクシー等の特例がない1年単位の変形労働時間制で、あらかじめ配分できる所定労働時間の原則的な上限の組合せはどれか。,revise,complete,,True
q-0141,True,labor.variable-hours,勤怠欄,core,,1週間単位の非定型的変形労働時間制を採用できる事業場として、適切なものはどれか。,revise,complete,,True
q-0142,True,leave.five-day-duty,勤怠欄,core,,使用者が年5日の年休取得を確保する義務の対象として、適切なものはどれか。,revise,complete,,True
q-0143,True,leave.five-day-duty,勤怠欄,core,mogi-2,当年の法定年休の新規付与が7日で、有効な前年繰越が3日ある労働者について、年5日の取得確保義務の対象になるか。,revise,complete,,True
q-0144,True,leave.initial-grant,勤怠欄,core,,比例付与の対象でない労働者が入社から6か月継続勤務した。出勤率計算の対象となる全労働日は120日で、出勤扱いの日は96日、残る24日は私用欠勤だった。会社独自の前倒し・上乗せ付与はない。初回に法定付与する年休は何日か。,revise,complete,構造化計算未登録,True
q-0145,True,leave.initial-grant,勤怠欄,core,mogi-2,入社から6か月継続勤務した比例付与対象外の労働者の出勤率が79％だった。会社独自の前倒し・上乗せ付与はない。初回の年休の法定付与義務について、正しいものはどれか。,revise,complete,,True
q-0146,True,premium.base,,reinforcement,,割増賃金の算定基礎から除外できるものとして法令に列挙されている手当はどれか。,retire,retired,,退役：公開対象外
q-0147,True,premium.base,支給項目欄,core,,割増賃金の算定基礎から除外できる七種類の賃金は、法令上どのように位置付けられているか。,revise,complete,,True
q-0148,True,premium.base,支給項目欄,core,,手当が割増賃金の算定基礎から除外できるかを判定する際の基本姿勢はどれか。,revise,complete,,True
q-0149,True,premium.base,支給項目欄,core,,扶養家族の有無や人数に関係なく全従業員へ一律支給する家族手当の取扱いはどれか。,revise,complete,,True
q-0150,True,premium.base,支給項目欄,core,,扶養家族1人につき一定額を支給する家族手当の取扱いはどれか。,revise,complete,,True
q-0151,True,premium.base,支給項目欄,reinforcement,,住宅費や住宅形態に関係なく全従業員へ一律支給する住宅手当の取扱いはどれか。,revise,complete,,True
q-0152,True,premium.base,支給項目欄,reinforcement,,住宅に要する費用に一定率を乗じて個別算定する住宅手当の取扱いはどれか。,revise,complete,,True
q-0153,True,premium.base,支給項目欄,reinforcement,,実際の通勤距離や交通費に応じて支給する通勤手当の取扱いはどれか。,revise,complete,,True
q-0154,True,premium.base,支給項目欄,reinforcement,,通勤の有無や距離に関係なく全従業員へ一律支給する通勤手当の取扱いはどれか。,revise,complete,,True
q-0155,True,premium.base,支給項目欄,reinforcement,,毎月の売上実績に応じて支払う営業実績手当の取扱いはどれか。,revise,complete,,True
q-0156,True,premium.base,,reinforcement,,臨時に支払われた賃金に該当することが確認された一時金の取扱いはどれか。,retire,retired,,退役：公開対象外
q-0157,True,premium.base,,reinforcement,,全従業員について保有資格に応じて毎月支給する資格手当の取扱いはどれか。,retire,retired,,退役：公開対象外
q-0158,True,premium.base,支給項目欄,reinforcement,,扶養する子の人数や教育費に応じて個別算定する子女教育手当の取扱いはどれか。,revise,complete,,True
q-0159,True,premium.base,支給項目欄,reinforcement,,実費弁償ではなく、在宅勤務者へ毎月一律に賃金として支払う在宅勤務手当の取扱いはどれか。,revise,complete,,True
q-0160,True,premium.base,支給項目欄,core,mogi-1,"月給は基本給240,000円、役職手当10,000円、扶養人数に応じた家族手当8,000円のみ。1年間における月平均所定労働時間は160時間である。家族手当は法定の除外賃金に該当する。割増賃金の基礎となる1時間当たり賃金はいくらか。50銭未満切捨て・50銭以上切上げとする。",revise,complete,,True
q-0161,True,premium.base,支給項目欄,core,,月によって所定労働時間が異なり、賃金が月給だけで構成される場合、割増賃金の基礎となる1時間当たり賃金の基本式として適切なものはどれか。,revise,complete,,True
q-0162,True,premium.base,支給項目欄,reinforcement,,"月ごとの所定労働時間が異なる月給制の労働者について、1年間の所定労働時間が1,920時間である。割増賃金の時間単価を計算するときに用いる、1か月平均所定労働時間は何時間か。",revise,complete,構造化計算未登録,True
q-0163,True,premium.base,,reinforcement,,割増賃金の算定基礎から除外できる賃金だけで構成された組合せはどれか。,retire,retired,,退役：公開対象外
