topic,objective,chapter_mapping,normal_ids,normal_core_ids,mock_ids,scope_verification
tax.resident,住民税の前年所得課税・特別徴収期間・異動手続を判断できる,控除項目欄,q-0364 q-0366 q-0368 q-0369 q-0370 q-0371 q-0372 q-0419 q-0422 q-0424 q-0425 q-0426 q-0429 q-0430 q-0432 q-0433 q-0436 q-0437,q-0364 q-0369,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
tax.withholding-table,扶養控除等申告書、課税対象額、月額表・日額表から源泉税を判断できる,控除項目欄,q-0373 q-0374 q-0375 q-0377 q-0378 q-0380 q-0381 q-0384 q-0387,q-0373 q-0377,q-0376 q-0383,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.absence-proration,欠勤・遅刻早退控除の根拠と日額・時間額の計算方法を判断できる,支給項目欄,q-0237 q-0238 q-0239 q-0240 q-0241 q-0242 q-0243 q-0245,q-0237 q-0243,q-0246,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.average,平均賃金の算定期間・除外期間・最低保障を判断できる,支給項目欄,q-0276 q-0278 q-0279 q-0281 q-0282 q-0283,q-0276 q-0282,q-0280 q-0285,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.average-leave-allowance,平均賃金と休業手当の対象・最低額を判断できる,支給項目欄,q-0284,q-0284,q-0288,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.deductions,全額払原則の例外となる法令控除と労使協定控除を区別できる,給与計算担当者が知っておきたい法律,q-0031,q-0031,q-0030,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.definition,労働基準法上の賃金に該当する支給と該当しない支給を判断できる,給与計算担当者が知っておきたい法律,q-0289 q-0291 q-0294 q-0295 q-0297 q-0298 q-0300,q-0291 q-0295,q-0292 q-0299,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.digital,デジタル払いの同意・口座・上限等の要件を判断できる,給与計算担当者が知っておきたい法律,q-0302 q-0304 q-0305,q-0304 q-0305,q-0303,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.minimum,最低賃金の適用単位と算入・除外賃金を判断できる,給与計算担当者が知っておきたい法律,q-0307 q-0308 q-0309,q-0307 q-0308,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.payment-deductions,賃金支払の5原則と法定控除・協定控除を具体例から判断できる,給与計算担当者が知っておきたい法律,q-0310 q-0312 q-0315 q-0317 q-0319 q-0322 q-0323 q-0324 q-0325 q-0326 q-0330 q-0332 q-0333,q-0310 q-0319 q-0323 q-0324 q-0326 q-0333,q-0311 q-0316,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.payment-principles,賃金支払5原則を列挙し、具体的な支払方法が各原則に適合するか判断できる,給与計算担当者が知っておきたい法律,q-0033,q-0033,q-0032,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.piecework,出来高払制における保障給の考え方を判断できる,給与計算担当者が知っておきたい法律,q-0334,q-0334,,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.records,賃金台帳・労働者名簿・保存期間等の実務要件を判断できる,給与計算担当者が知っておきたい法律,q-0335 q-0336 q-0338 q-0339,q-0335 q-0336 q-0339,q-0337,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.rounding,給与計算で認められる端数処理と認められない処理を区別できる,給与計算担当者が知っておきたい法律,q-0341,q-0341,q-0340,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
wage.schedule-emergency,賃金の毎月1回・一定期日払いと非常時払の要件を判断できる,給与計算担当者が知っておきたい法律,q-0347,q-0347,q-0344,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
withholding.declaration-timing,扶養控除等申告書の提出時期と異動時の扱いを判断できる,控除項目欄,q-0388,q-0388,q-0389,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
withholding.table-base,月額表を引くための社会保険料等控除後給与を計算できる,控除項目欄,q-0390,q-0390,q-0391,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
withholding.table-column,扶養控除等申告書の提出状況から月額表の甲欄・乙欄を選べる,控除項目欄,q-0392,q-0392,q-0393,章への仮割当。公式テキスト本文・章内の範囲との照合は未実施
