id,change,fields,reason,merged_into,approval
q-0057,修正,common_mistake explanation question_text role source_keys,条件付き加算に修正した現行版を再確認。旧根拠PDF000902876は裁量労働制の資料で誤引用のため兵庫労働局の事業場外労働解説へ差替え。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0058,退役,,事業場外かつ労働時間算定困難という同じ適用要件はq-0055で扱う。 異なる応用条件がないため統合。旧履歴を保持して配信停止し、統合先への習熟自動移行は行わない。,q-0055,retired
q-0059,修正,source_keys,2024年4月に追加された専門業務型本人同意を現行一次資料で確認。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0060,修正,source_keys,決議の届出も解説で確認。通常の専門業務型手続との差を測る模試枠。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0061,修正,source_keys,みなし制度でも休日・深夜を把握する必要がある。通常日のみなし時間超過と区別。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0062,修正,source_keys,専門業務型と企画業務型の根拠の違いも説明する入口。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0063,修正,source_keys,1か月超の届出と時間外判定も説明。退役q-0065の同一技能を引受ける通常コア。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0064,修正,source_keys,清算期間の総労働時間という条件付きであり労働時間が無制限に自由な制度ではない。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0065,退役,,q-0063と清算期間の法定上限3か月という同じ境界判断を問う。異なる条件・応用技能がないため統合。q-0065の学習履歴は保持し配信を停止する。q-0063への習熟の自動移行は行わない。,q-0063,retired
q-0066,修正,source_keys,通常q-0064の始終業選択に加えコアタイムが必須かを確認する模試知識枠。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0067,修正,common_mistake explanation source_keys,旧解説の週平均50時間を絶対上限と読める説明を修正。超過を月別時間外として扱い清算時の二重計上を防ぐ。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0068,修正,distractor_feedback explanation question_text source_keys,旧本文ではB・Dも適法で正答が一意でなかった。最低基準の組合せに限定して再照合。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0069,修正,source_keys,週休2日両方が自動的に法定休日にならない説明を維持。通常q-0037との技能類似は残り、全模試横断で再評価する。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0070,修正,explanation source_keys,事前振替と事後代休を対比し、週をまたぐ場合の時間外割増を解説へ補足。 全体の範囲・他の全設問との類似・模試セット評価は未完了。,,complete
q-0071,修正,question_text source_keys,週40時間の事業場・日単位との二重計上なしを補足。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0072,修正,category choices distractor_feedback explanation question_text role source_keys,旧A・Bも休日付与として適法で複数正解だった。曜日の任意性の適用へ改訂し、q-0036の4週4日のケースと分ける。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0073,修正,source_keys,q-0069は模試保持のため、通常学習で休日区分を学べる本問を維持。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0074,退役,,振替休日の事前交換という同一定義。 異なる技能を追加しない類題として統合。旧履歴を保持し配信停止。統合先の習熟へ自動移行しない。,q-0070,retired
q-0075,修正,source_keys,事前振替のq-0070、跨週のq-0071と対比できる。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0076,修正,source_keys,模試の定義問題は維持。通常q-0080に前提説明を補いコア化し、模試前に学べるようにする。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0077,修正,source_keys,全4業種と映画製作除外、1日8時間を解説で確認。q-0081の重複を統合。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0078,修正,source_keys,法定内残業の定義を、休日・深夜・休憩と分けて維持。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0079,修正,explanation question_text source_keys,法定休日等の条件不足を解消。q-0083を統合し、所定外・法定内という分類と通常賃金の支払を説明。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0080,修正,category explanation source_keys study_tier,q-0038は模試用のため通常の入口としてコア化。q-0082の所定時間定義を解説に統合。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0081,退役,,44時間特例の4業種・10人未満と1日8時間はq-0077の解説を含めて扱う。 異なる技能を追加しない類題として統合。旧履歴を保持し配信停止。統合先の習熟へ自動移行しない。,q-0077,retired
q-0082,退役,,所定時間の定義は通常コアq-0080の解説へ統合。 異なる技能を追加しない類題として統合。旧履歴を保持し配信停止。統合先の習熟へ自動移行しない。,q-0080,retired
q-0083,退役,,7時間所定から8時間働く法定内残業の同じ境界。 異なる技能を追加しない類題として統合。旧履歴を保持し配信停止。統合先の習熟へ自動移行しない。,q-0079,retired
q-0084,修正,question_text source_keys,比例付与対象外・前倒しなし・法定初回の条件を明記して一意に。q-0087を統合。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0085,修正,explanation source_keys,週単位の条件を確認。q-0090を統合し年間216日以下にも30時間未満が必要と説明。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0086,修正,explanation reference_sheet_slugs source_keys,表を実装し行・列の読み方を解説。原本3頁の画像で行列と全境界値を確認。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0087,退役,,初回6か月・8割・10日の同じ付与要件。 異なる技能を追加しない類題として統合。旧履歴を保持し配信停止。統合先の習熟へ自動移行しない。,q-0084,retired
q-0088,修正,explanation question_text reference_sheet_slugs source_keys,各回の出勤率要件・新規付与であることを明記。新しい表の通常行全7列を原本と照合。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0089,修正,choices explanation question_text reference_sheet_slugs role source_keys,単なる上限20日の重複を、繰越を含む保有との区別へ改訂。前年分が失効していないと指定。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0090,退役,,週4日以下・30時間未満の同じ比例付与要件。年間216日の説明も統合。 異なる技能を追加しない類題として統合。旧履歴を保持し配信停止。統合先の習熟へ自動移行しない。,q-0085,retired
q-0091,修正,explanation question_text reference_sheet_slugs source_keys,継続6か月と8割出勤の条件を補い、表の行・列から読む手順を説明。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0092,修正,source_keys,同じ要件でも日数は所定時間・日数により比例付与となる旨を解説で限定。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0093,修正,source_keys,育児・介護・産前産後休業も列挙。年休取得日は取得による出勤率低下を生じさせない。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0094,修正,explanation question_text source_keys,当年法定10日以上・基準日から1年という適用条件を補足。q-0100の同一判断を統合。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0095,修正,source_keys,q-0102のDも許される取扱いで複数正解。義務が明確な本問へ統合。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0096,修正,choices source_keys,正答肢にも「正常な」と「他の時季」を補い、単なる拒否権と区別。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0097,修正,choices distractor_feedback explanation question_text role source_keys,通常q-0105は導入の基礎、模試本問は繰越を含めた対象日数の適用へ変更。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0098,修正,source_keys,q-0106を統合。分単位ではなく時間単位という制度と届出不要を確認。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0099,修正,explanation source_keys,法39条9項の5円境界・10円単位丸めを追加。q-0108を統合。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0100,退役,,本人取得・計画年休を5日から控除する同じ判断。 異なる技能を追加しない類題として統合。旧履歴を保持し配信停止。統合先の習熟へ自動移行しない。,q-0094,retired
q-0101,修正,choices explanation question_text source_keys,時間単位は不算入という単純反復から、半日と時間単位が混在する取得管理へ改訂。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0102,退役,,旧Dの本人同意も許される取扱いで正答一意でない。同じ意見聴取義務をq-0095へ統合。 異なる技能を追加しない類題として統合。旧履歴を保持し配信停止。統合先の習熟へ自動移行しない。,q-0095,retired
q-0103,修正,source_keys,q-0096の基本に対し、変更理由として不十分な例を比較する補強として維持。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0104,修正,source_keys,時季変更権は残ることを「原則」で限定。私用だから不承認という誤解を防ぐ。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0105,修正,explanation source_keys study_tier,模試q-0097の事前解放に頼らない通常コアへ昇格。繰越と届出不要を解説へ補足。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0106,退役,,労使協定・年5日の同じ時間単位年休の導入要件。 異なる技能を追加しない類題として統合。旧履歴を保持し配信停止。統合先の習熟へ自動移行しない。,q-0098,retired
q-0107,修正,source_keys,本人の時間単位請求と使用者の計画割当を分ける制度横断の基礎。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0108,退役,,平均・通常・標準報酬という3方式の同じ列挙。 異なる技能を追加しない類題として統合。旧履歴を保持し配信停止。統合先の習熟へ自動移行しない。,q-0099,retired
q-0109,修正,explanation source_keys,3方式のq-0099に対する導入手続の補強。標準報酬月額を30で割った後の丸めも補足。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0110,修正,source_keys,原則日単位、時間単位には協定、半日には希望と同意という3者比較に維持。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0111,修正,source_keys,賃金請求権の時効改正と混同しない。翌年繰越との関係を維持。 全体の範囲・全模試間の類似・難易度は未判定。,,complete
q-0113,修正,choices,正答肢にも業務の限定を明記。単なる医師の許可で全業務に復帰できるとの誤解を防ぐ。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0114,修正,explanation question_text source_keys study_tier,過半数労組がないという前提不足を修正。通常コア化しq-0123を統合、効果と割増を説明。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0115,修正,source_keys,通常q-0114で前提を学べる。模試は協定と割増の両立を維持。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0116,修正,question_text source_keys,特例・適用除外なしと通常制度を明記。q-0124の同じ数値暗記を統合。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0117,修正,source_keys,恒常的な残業を特別条項で正当化する誤りを確認する。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0118,修正,choices explanation question_text source_keys,休日を法定休日と限定。所定休日の法定時間外を誤って除外しない説明。q-0125を統合。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0119,修正,choices question_text source_keys,旧Cは必要条件ではあったため、完全な集計対象と境界を問うよう限定。q-0126統合。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0120,修正,choices distractor_feedback explanation question_text role source_keys,模試の単純暗記を独立に作成したケースへ変更。通常q-0127で集計基準を先に学ぶ。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0121,修正,question_text source_keys,最大月数を問うと明確。特例等なしの条件を補いq-0128統合。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0122,修正,explanation question_text source_keys study_tier,各上限の並存を通常コア化。法定休日を含む集計と含まない集計も補足。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0123,退役,,36協定の効果を手続の説明に統合。旧Aの法定内労働自体も可能なので協定の効果との違いを明記。 別技能の演習を増やさないため統合。旧履歴を保持し配信停止。統合先への習熟の自動移行はしない。,q-0114,retired
q-0124,退役,,通常月45・年360の同一判断。 別技能の演習を増やさないため統合。旧履歴を保持し配信停止。統合先への習熟の自動移行はしない。,q-0116,retired
q-0125,退役,,年720の集計対象の同一判断。 別技能の演習を増やさないため統合。旧履歴を保持し配信停止。統合先への習熟の自動移行はしない。,q-0118,retired
q-0126,退役,,単月合計100未満の同一判断。 別技能の演習を増やさないため統合。旧履歴を保持し配信停止。統合先への習熟の自動移行はしない。,q-0119,retired
q-0127,修正,choices explanation question_text source_keys study_tier,通常コア化し模試q-0120の基礎を用意。80ちょうど可と100ちょうど不可を区別。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0128,退役,,45時間超の月数最大6の同一判断。 別技能の演習を増やさないため統合。旧履歴を保持し配信停止。統合先への習熟の自動移行はしない。,q-0121,retired
q-0129,修正,question_text source_keys,3か月以下まで例外を広げない。労働時間配分10/52とは別の時間外の限度。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0130,修正,source_keys topic_key,誤分類labor.overtime-agreementをlabor.supervisorへ修正。基本の適用関係として維持。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0131,修正,choices explanation question_text source_keys,q-0130と同じ夜間割増の反復を、職務権限・勤務裁量・待遇のケースへ変更。改訂により習熟は再確認対象。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0132,修正,question_text source_keys,週44特例なしを明示。q-0136の同じ制度定義を統合。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0133,修正,explanation source_keys,小規模特例でも年変形は40であることを補足。通常の前提として労使協定届出も説明。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0134,修正,choices explanation question_text role source_keys,模試を小規模特例との組合せへ。通常q-0141をコア化し基礎から学べる。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0135,修正,explanation question_text source_keys,月単位と限定し、週非定型の緊急変更と混同しない。q-0137統合。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0136,退役,,月単位の対象期間と週平均の同一定義。 別技能の演習を増やさないため統合。旧履歴を保持し配信停止。統合先への習熟の自動移行はしない。,q-0132,retired
q-0137,退役,,月単位の事前勤務特定と事後変更不可の同一判断。 別技能の演習を増やさないため統合。旧履歴を保持し配信停止。統合先への習熟の自動移行はしない。,q-0135,retired
q-0138,修正,explanation source_keys,協定の届出、10人以上の規則届出、36協定との違いを補足。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0139,修正,explanation source_keys,分割時の勤務特定が法定手続で可能なことを説明。全期間の各日を初日に定める以外不可という誤解を防ぐ。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0140,修正,explanation question_text source_keys,所定時間の配分上限と限定。原表画像で48超の連続3週・各3か月3回とタクシー特例を確認。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0141,修正,explanation source_keys study_tier,通常コア化。週40・日10・事前書面・緊急客観事情の前日通知と届出を説明。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0142,修正,choices explanation question_text source_keys,保有10日と新規10日を区別。本人取得済みでも追加5日指定する誤解を防ぐ。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0143,修正,choices distractor_feedback explanation question_text source_keys,模試の5－3という通常問題との重複を、繰越と対象判定のケースへ改訂。通常q-0142で判断条件を学べる。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0144,修正,explanation question_text role source_keys,q-0084と同じ要件暗記を出勤率ちょうど80％の適用に。比例対象外と出勤率の分母分子を限定。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0145,修正,question_text source_keys,法定義務と会社独自の任意付与を分けるため前倒し・上乗せなしを明記。 全体の範囲・模試間類似・難易度の最終判定は未完了。,,complete
q-0146,退役,,別居を含む7種類と資格・皆勤・役職の除外不可を統合先で説明。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0147,retired
q-0147,修正,explanation source_keys study_tier,通常コア化。別居・資格・役職・精皆勤の対比を解説へ集約。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0148,修正,explanation source_keys study_tier,通常コア化し一律家族手当の例を補足。q-0169を統合。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0149,修正,source_keys,原本の家族手当の除外できない例と同じ判断。q-0165を統合。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0150,修正,source_keys,q-0149との条件差が結論を変える対比として維持。q-0164を統合。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0151,修正,source_keys,住宅費連動のq-0152と対比。名称だけでは除外できない。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0152,修正,explanation source_keys,住宅形態だけで定額支給する反例を追加しq-0168を統合。原本の賃貸・持ち家の反例を画像確認。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0153,修正,source_keys,q-0154との費用連動の対比に維持。q-0166を統合。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0154,修正,explanation source_keys,税の非課税限度との混同を補足しq-0167を統合。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0155,修正,explanation source_keys,毎月変動でも臨時とは限らない。出来高部分の分母は実労働総時間である旨を補いq-0174を統合。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0156,退役,,本文で臨時の賃金と正答を示していたため、結婚の事由から判断する例へ統合。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0173,retired
q-0157,退役,,毎月の資格手当が7種類外という同じ判断を統合先で説明。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0147,retired
q-0158,修正,source_keys,個人的事情に応じた実態を明記しており、名称だけの列挙より一段適用した問題として維持。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0159,修正,explanation source_keys,2024年4月5日通達の渡切りと実費精算の区別を説明。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0160,修正,answer calc_params choices common_mistake explanation question_text source_keys,すべて月給・ほかの賃金なしと限定。1時間単価を求める模試計算であり1.25倍はまだしない。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0161,修正,exam_role explanation question_text role source_keys study_tier,数値計算でないため知識・手順へ分類修正し通常コア化。月ごと時間が異なる条件を補足。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0162,修正,choices explanation question_text source_keys,式の暗記重複を新しい平均時間算出へ。金額ではなく時間単価の前提を求める知識枠。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0163,退役,,除外される7種類の列挙の重複。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0147,retired
q-0164,退役,,扶養人数連動の家族手当の同じ判断。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0150,retired
q-0165,退役,,全員一律の家族手当の同じ判断。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0149,retired
q-0166,退役,,通勤距離・費用連動の同じ判断。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0153,retired
q-0167,退役,,費用に関係ない一律通勤手当の同じ判断。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0154,retired
q-0168,退役,,住宅費に連動する同じ判断。賃貸という形態だけでは除外不可との説明も統合。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0152,retired
q-0169,退役,,名称でなく支給実態で判断する同じ原則。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0148,retired
q-0170,退役,,毎月の役職手当は7種類外という同じ判断。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0147,retired
q-0171,退役,,精皆勤手当は7種類外という同じ判断。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0147,retired
q-0172,修正,explanation question_text role source_keys,単なる月給のまとめ払い・確定年俸の分割と区別する支給条件を補足。非数値のため役割を適用へ修正。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0173,修正,explanation source_keys,賃金でない恩恵的支給と区別。答えを本文に直接含むq-0156を、事由から判断する本問へ統合。 全体の類題・模試構成・範囲の最終判定は未完了。,,complete
q-0174,退役,,毎月変動する業績手当は臨時でないという同じ判断。 旧履歴保持・配信停止。統合先の習熟には自動移行しない。,q-0155,retired
